node =  1808704  ,  0.745  *  0.920666715013359  =  0.6858967026849524
node =  99876  ,  0.692  *  -0.25456311011992433  =  -0.17615767220298761
node =  259055  ,  0.716  *  0.06278438129422695  =  0.044953617006666495

node =  9522  ,  0.586  *  0.8238187557927473  =  0.4827577908945499
node =  9522  ,  0.72376923076923  *  -0.5463299125640482  =  -0.39541678056270185

node =  599542  ,  0.586  *  1.0744392778594314  =  0.6296214168256268

node =  0  ,  0.633  *  2.3272237410542096  =  1.4731326280873147
node =  0  ,  0.662  *  -3.9127190119446236  =  -2.590219985907341
node =  0  ,  0.72376923076923  *  -0.8256497407042374  =  -0.5975798777143201
node =  0  ,  0.667  *  1.646405745855688  =  1.098152632485744
node =  0  ,  0.708  *  1.1719260403623493  =  0.8297236365765432
node =  0  ,  0.764  *  0.3928286680079701  =  0.3001211023580892
node =  0  ,  0.586  *  2.8695899915273584  =  1.6815797350350319
node =  0  ,  0.91  *  -0.8233109281658885  =  -0.7492129446309586
node =  0  ,  0.623  *  1.8597876939816076  =  1.1586477333505416
node =  0  ,  0.713  *  0.3381544540491487  =  0.24110412573704298
node =  0  ,  0.764  *  -0.10489775343714264  =  -0.08014188362597698
node =  0  ,  0.758  *  -1.8930157962907794  =  -1.4349059735884109
node =  0  ,  0.692  *  -2.3935772171206513  =  -1.6563554342474907
node =  0  ,  0.657  *  1.4775078391879053  =  0.9707226503464538
node =  0  ,  0.0  *  0.127071200402778  =  0.0
node =  0  ,  0.10126659407125466  *  -0.11731003702418769  =  -0.011879587899812269
node =  0  ,  0.0  *  -0.4910256596046029  =  -0.0
node =  0  ,  0.23754156306429924  *  -2.1535797877408585  =  -0.5115647089636453

node =  649  ,  0.713  *  0.22534706178302052  =  0.16067245505129363
node =  649  ,  0.758  *  0.5356815453296673  =  0.4060466113598878
node =  649  ,  0.716  *  -1.3178799048246712  =  -0.9436020118544646
node =  649  ,  0.623  *  -0.5854125911156545  =  -0.3647120442650527
node =  649  ,  0.633  *  0.07776066165084086  =  0.049222498824982266
node =  649  ,  0.692  *  1.1165692765915138  =  0.7726659394013276
node =  649  ,  0.72376923076923  *  0.77832835043782  =  0.5633301114822648
node =  649  ,  0.586  *  -1.528985605571812  =  -0.8959855648650819
node =  649  ,  0.745  *  0.2220282308291387  =  0.16541103196770832
node =  649  ,  0.667  *  0.6489249423685821  =  0.4328329365598443
node =  649  ,  0.764  *  0.1828023006881882  =  0.13966095772577578
node =  649  ,  0.708  *  0.27888487876258516  =  0.19745049416391028
node =  649  ,  0.691  *  0.38092344963448954  =  0.26321810369743226
node =  649  ,  0.642  *  0.08373525677040278  =  0.053758034846598586
node =  649  ,  0.0  *  -0.45892232012452056  =  -0.0
node =  649  ,  1.0607405720032301  *  -1.7167993667463362  =  -1.8210787422972918


node =  1  ,  0.716  *  1.1694674253943722  =  0.8373386765823705
node =  1  ,  0.692  *  1.4645677952835563  =  1.013480914336221
node =  1  ,  0.72376923076923  *  1.1833652967741013  =  0.856483390565193
node =  1  ,  0.713  *  1.2304835265733471  =  0.8773347544467964
node =  1  ,  0.745  *  0.2632743756536422  =  0.19613940986196343
node =  1  ,  0.592  *  -1.3215053213606636  =  -0.7823311502455128
node =  1  ,  0.63107692307692  *  -1.690969261290318  =  -1.0671316784327463
node =  1  ,  0.612  *  -1.5887006700065491  =  -0.972284810044008
node =  1  ,  0.662  *  -0.09850291705572224  =  -0.06520893109088813
node =  1  ,  0.633  *  -3.300463710600124  =  -2.0891935288098784
node =  1  ,  0.691  *  0.23455091929155192  =  0.16207468523046237
node =  1  ,  0.03635105182325771  *  1.1383620058114612  =  0.04138065626688002
node =  1  ,  0.633  *  0.6442565955711612  =  0.4078144249965451
node =  1  ,  0.657  *  -0.8719550028904617  =  -0.5728744368990334
node =  1  ,  0.758  *  -0.32101797372264373  =  -0.24333162408176395
node =  1  ,  0.741  *  0.5660126077024807  =  0.41941534230753824
node =  1  ,  0.764  *  1.1139616993678798  =  0.8510667383170601
node =  1  ,  0.764  *  2.644127595129105  =  2.020113482678636
